# This is the list of all model files in descending order of f1-score
# Duplicate models are removed based on their performance
# Date: 09/13/2018

model_name,f1_score,roc_auc_score,total_actives,predicted_actives,version
classifier_sphingosine_1_phosphate_receptor_3,0.9736842105263158,0.9743589743589743,39,37,py35
classifier_melanin_concentrating_hormone_receptor_1,0.9733163913595935,0.9917741135314454,389,398,py27
classifier_b1_bradykinin_receptor,0.9732620320855615,0.9836965324302437,94,93,py27
classifier_beta_3_adrenergic_receptor,0.972972972972973,0.9736842105263157,38,36,py27
classifier_phospholipase_d1,0.972972972972973,0.9736842105263157,19,18,py35
classifier_suppressor_of_tumorigenicity_14_protein,0.972972972972973,0.9861747657882322,37,37,py35
classifier_baculoviral_iap_repeat_containing_protein_3,0.972972972972973,0.9736842105263157,19,18,py35
classifier_alk_tyrosine_kinase_receptor,0.9727272727272728,0.9902940559628151,109,111,py27
classifier_5_hydroxytryptamine_receptor_4,0.9726027397260274,0.9795263123171993,74,72,py27
classifier_3_phosphoinositide_dependent_protein_kinase_1,0.9724770642201834,0.9815487852664576,55,54,py27
classifier_peroxisome_proliferator_activated_receptor_delta,0.9722222222222222,0.972972972972973,74,70,py35
classifier_cell_division_cycle_7_related_protein_kinase,0.9722222222222222,0.972972972972973,37,35,py27
classifier_sn1_specific_diacylglycerol_lipase_alpha,0.9714285714285714,0.9991423670668953,17,18,py27
classifier_glucose_dependent_insulinotropic_receptor,0.9714285714285714,0.999384236453202,34,36,py35
classifier_insulin_like_growth_factor_1_receptor,0.970873786407767,0.9804525077962579,156,153,py27
classifier_high_affinity_cgmp_specific_3_5_cyclic_phosphodiesterase_9a,0.9705882352941176,0.9848197343453511,34,34,py27
classifier_carbonic_anhydrase_13,0.9705882352941176,0.9714285714285714,35,33,py27
classifier_glutamate_receptor_ionotropic_kainate_1,0.9705882352941176,0.9714285714285714,35,33,py27
classifier_cholecystokinin_receptor_type_a,0.9705882352941176,0.9714285714285714,35,33,py35
classifier_glucagon_receptor,0.9704641350210972,0.9949381521664018,116,121,py35
classifier_c_c_chemokine_receptor_type_2,0.970059880239521,0.9818076803370921,168,166,py35
classifier_prolactin_releasing_peptide_receptor,0.9696969696969697,0.9705882352941176,17,16,py35
classifier__pyruvate_dehydrogenase_acetyl_transferring_kinase_isozyme_2_mitochondrial,0.9696969696969697,0.9705882352941176,17,16,py27
classifier_protein_kinase_c_theta_type,0.9696969696969697,0.999000499750125,64,68,py27
classifier_stromelysin_2,0.9696969696969697,0.9705882352941176,17,16,py27
classifier_leukotriene_a_4_hydrolase,0.9689440993788819,0.9869495412844037,80,81,py27
classifier_hepatocyte_growth_factor_receptor,0.9689440993788819,0.9811475916651208,243,240,py27
classifier_serine_threonine_protein_kinase_pim_1,0.968609865470852,0.9755851895975021,227,219,py27
classifier_collagenase_3,0.9685863874345549,0.9754071732929533,389,375,py27
classifier_rac_beta_serine_threonine_protein_kinase,0.9682539682539683,0.9692307692307692,65,61,py27
classifier_c_x_c_chemokine_receptor_type_2,0.967741935483871,0.96875,80,75,py35
classifier_phosphatidylinositol_4_5_bisphosphate_3_kinase_catalytic_subunit_alpha_isoform,0.967032967032967,0.9779423982276378,276,270,py27
classifier_aurora_kinase_b,0.9669421487603306,0.9791484844910957,122,120,py27
classifier_deoxyuridine_5_triphosphate_nucleotidohydrolase_mitochondrial,0.9666666666666667,0.982779623477298,30,30,py35
classifier_c_c_chemokine_receptor_type_5,0.9663865546218487,0.9907487661008788,234,242,py35
classifier_beta_secretase_1,0.9660130718954247,0.9729203371827169,781,749,py27
classifier_c_c_chemokine_receptor_type_3,0.9658119658119658,0.9669421487603306,121,113,py35
classifier_tyrosine_protein_kinase_syk,0.9655172413793104,0.9769444278636662,176,172,py27
classifier_trypsin_1,0.9652996845425867,0.9664634146341464,164,153,py35
classifier_delta_type_opioid_receptor,0.9652042360060514,0.9827652053151533,330,331,py35
classifier_carnitine_o_palmitoyltransferase_1_liver_isoform,0.9651741293532338,0.9707260322706512,103,98,py27
classifier_dipeptidyl_peptidase_1,0.965034965034965,0.978730461650309,144,142,py27
classifier_sodium_channel_protein_type_9_subunit_alpha,0.9645021645021645,0.9687574719220289,594,561,py27
classifier_poly_adp_ribose_polymerase_1,0.9641873278236913,0.9777124124999824,366,360,py27
classifier_c_x_c_chemokine_receptor_type_3,0.9640287769784172,0.9716119758410297,71,68,py35
classifier_p2y_purinoceptor_1,0.963855421686747,0.9871031236628155,41,42,py35
classifier_p2x_purinoceptor_7,0.9636963696369637,0.982846337044158,302,304,py27
classifier_vasopressin_v2_receptor,0.9635036496350364,0.9915687904304146,67,70,py35
classifier_dipeptidyl_peptidase_4,0.9630793401413983,0.9813789373892884,636,637,py27
classifier_leucine_rich_repeat_serine_threonine_protein_kinase_2,0.962962962962963,0.9736526164271884,96,93,py27
classifier_focal_adhesion_kinase_1,0.962962962962963,0.9843874990598998,67,68,py27
classifier_peptidyl_prolyl_cis_trans_isomerase_fkbp1a,0.9629629629629629,0.9865884229717411,80,82,py27
classifier_dual_specificity_protein_kinase_ttk,0.9629629629629629,0.9868127147766323,40,41,py27
classifier_proteasome_subunit_beta_type_5,0.9620253164556963,0.9634146341463414,41,38,py35
classifier_retinol_binding_protein_4,0.9615384615384615,0.962962962962963,27,25,py27
classifier_potassium_channel_subfamily_k_member_3,0.9615384615384615,0.962962962962963,27,25,py35
classifier_smoothened_homolog,0.961038961038961,0.9625,40,37,py35
classifier_neprilysin,0.9606299212598425,0.9760986781076068,64,63,py27
classifier_glycogen_phosphorylase_liver_form,0.9605263157894737,0.9923076145007282,74,78,py27
classifier_gamma_aminobutyric_acid_receptor_subunit_alpha_5,0.9600000000000001,0.9658719248503594,103,97,py35
classifier_coagulation_factor_vii,0.9600000000000001,0.9615384615384616,52,48,py27
classifier_wee1_like_protein_kinase,0.9600000000000001,0.9990671641791045,12,13,py27
classifier_melanocyte_stimulating_hormone_receptor,0.9600000000000001,0.9990138067061144,12,13,py35
classifier_traf2_and_nck_interacting_protein_kinase,0.9600000000000001,0.9615384615384616,26,24,py27
classifier_fructose_1_6_bisphosphatase_1,0.96,0.9794327850255247,50,50,py27
classifier_coagulation_factor_xi,0.96,0.9685181965693092,64,61,py27
classifier_non_receptor_tyrosine_protein_kinase_tyk2,0.96,0.9793894993894994,25,25,py35
classifier_glutamate_receptor_ionotropic_nmda_2b,0.96,0.9794110718492344,25,25,py27
classifier_endothelin_converting_enzyme_1,0.96,0.9703159041394336,51,49,py27
classifier_rac_alpha_serine_threonine_protein_kinase,0.9597523219814241,0.9721764341754165,164,159,py27
classifier_transient_receptor_potential_cation_channel_subfamily_m_member_8,0.9583333333333334,0.9987515605493134,69,75,py35
classifier_heat_shock_protein_hsp_90_alpha,0.9581993569131834,0.9711185067650803,158,153,py27
classifier_interstitial_collagenase,0.9580645161290323,0.9814217032967033,308,312,py27
classifier_angiotensin_converting_enzyme,0.9577464788732395,0.9594594594594594,74,68,py35
classifier_caspase_1,0.9577464788732395,0.9594594594594594,74,68,py35
classifier_adenosine_kinase,0.9577464788732395,0.9985148514851485,34,37,py35
classifier_coagulation_factor_ix,0.9577464788732395,0.9990763546798029,34,37,py27
classifier_potassium_voltage_gated_channel_subfamily_a_member_3,0.9577464788732395,0.9990763546798029,34,37,py35
classifier_calcitonin_gene_related_peptide_type_1_receptor,0.9574468085106383,0.9830145100509454,93,95,py35
classifier_serine_threonine_protein_kinase_pim_2,0.956896551724138,0.9623762069819262,120,112,py27
classifier_neuropeptide_y_receptor_type_2,0.9565217391304348,0.9773882692161773,23,23,py35
classifier_glycylpeptide_n_tetradecanoyltransferase_1,0.9565217391304348,0.9990421455938697,11,12,py27
classifier_glutamate_receptor_1,0.9565217391304348,0.9583333333333333,12,11,py35
classifier_a_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_4,0.9565217391304348,0.9583333333333333,36,33,py27
classifier_squalene_synthase,0.9565217391304348,0.9709668909114892,35,34,py27
classifier_eukaryotic_translation_initiation_factor_2_alpha_kinase_3,0.9565217391304348,0.9988839285714285,11,12,py27
classifier_72_kda_type_iv_collagenase,0.9560185185185186,0.975278861767456,434,430,py27
classifier_arachidonate_15_lipoxygenase,0.955223880597015,0.9839451424817279,33,34,py27
classifier_peroxisome_proliferator_activated_receptor_gamma,0.9548022598870056,0.9567567567567568,185,169,py27
classifier_thymidylate_synthase,0.9545454545454547,0.9696616866908753,67,65,py27
classifier_alkaline_phosphatase_tissue_nonspecific_isozyme,0.954248366013072,0.9657653118351808,78,75,py35
classifier_acetyl_coa_carboxylase_1,0.9532710280373832,0.9985697940503432,51,56,py27
classifier_bifunctional_epoxide_hydrolase_2,0.9530434782608697,0.970281109316712,291,284,py27
classifier_baculoviral_iap_repeat_containing_protein_2,0.953020134228188,0.9982323232323232,71,78,py27
classifier_steroid_17_alpha_hydroxylase_17_20_lyase,0.9528795811518325,0.9594337799008574,99,92,py27
classifier_egl_nine_homolog_1,0.9523809523809524,0.9868088621125255,41,43,py27
classifier_serine_threonine_protein_kinase_pak_1,0.9523809523809523,0.9545454545454546,11,10,py35
classifier_palmitoleoyl_protein_carboxylesterase_notum,0.9523809523809523,0.9989059080962801,10,11,py35
classifier_serine_threonine_protein_kinase_nek1,0.9523809523809523,0.9987255734919287,30,33,py27
classifier_protein_o_glcnacase,0.9523809523809523,0.9545454545454546,11,10,py27
classifier_ephrin_type_b_receptor_4,0.9523809523809523,0.9545454545454546,11,10,py27
classifier_heparanase,0.9523809523809523,0.9545454545454546,22,20,py35
classifier_protein_s_isoprenylcysteine_o_methyltransferase,0.9523809523809523,0.9545454545454546,11,10,py27
classifier_furin,0.9523809523809523,0.9989270386266094,10,11,py27
classifier_sorbitol_dehydrogenase,0.9523809523809523,0.9989224137931034,10,11,py27
classifier_bromodomain_containing_protein_3,0.951219512195122,0.998792270531401,39,43,py27
classifier_methionine_aminopeptidase_2,0.951048951048951,0.9592571940872912,74,69,py27
classifier_inosine_5_monophosphate_dehydrogenase_2,0.9504950495049505,0.97000224056807,102,100,py27
classifier_caspase_3,0.9503105590062112,0.9715466769606896,162,160,py27
classifier_acyl_coa_desaturase,0.9502762430939227,0.9668854021555833,92,89,py27
classifier_orexin_receptor_type_1,0.9502262443438914,0.9602627417251617,114,107,py35
